t,token,s_norm,s_rms,ds,cos_s_sprev,cos_s_e,e_norm,u_norm,fb_norm,fb_frac,g_mean,g_min,g_max,swa_entropy,cross_entropy,logit_entropy
1,0,9.079954868919758,3.2102488303404852,8.43629750871301,0.37277411251592585,0.7802348595483779,6.098554599190464,6.194201302979737,0.28048184009993976,0.045991527260766274,0.552380062332469,0.03426570754147687,0.8884604670878068,0.0,0.0,1.9907006661270514
2,3,9.48885676056006,3.3548174805499174,3.6221248449790573,0.924832697873559,0.8755213356296341,7.120124910025264,7.067403997213904,0.1328962434250808,0.018664875280201967,0.5282171677841674,0.070340540281455,0.9012060597661077,0.6499363587591159,0.670000519608688,1.9484879408745936
3,7,4.758175651293371,1.6822691345531298,6.677886712148915,0.7539867024216486,0.4015562701128977,3.020390178453478,3.0352735447467953,0.13571397280440606,0.04493259638193344,0.5262549527089699,0.13556655879855084,0.810312723232911,1.057098677125373,0.9908894995675464,1.8118956565511528
4,2,4.774012085773892,1.6878681596586262,3.3663989808086856,0.7505591474750477,0.6892337191136397,2.530796415089839,2.5335494002844663,0.11908978003979817,0.047056246535567614,0.4517037221725396,0.21184052293927721,0.6450172787733199,0.661268735753968,1.2721496333543278,1.840993133086433
5,5,7.1549594858941665,2.5296601857953895,6.8119097046699215,0.40375070840613037,0.8017727444504532,5.904506983980281,5.89511385437842,0.2234498778153043,0.03784395181876383,0.5876233513298784,0.03304617150164501,0.8758268660281414,1.0614738020048997,1.374126139084162,1.8518576107862283
6,1,5.884259055566927,2.0803997402248617,3.869607306977372,0.8413460536638672,0.7319721103697239,3.934303522231146,3.9248786867583876,0.09126419167238524,0.02319703885495577,0.4111717372383561,0.08776037235396386,0.7057546745431524,0.9741691837698732,1.4991867118059299,1.8385961547659107
7,9,5.845862397384812,2.066824471537124,2.8969080096600046,0.8780385054070495,0.7156185698851899,3.8302864307483153,3.835144728869523,0.06217641440294594,0.016232836767457796,0.3420405026936674,0.09759408355008457,0.603784844944925,0.9980970389857267,1.6006372626791414,1.8609359123804947
8,4,4.003851703377324,1.4155753451617077,4.693301728698791,0.6019374370995532,0.37268666609449996,2.3033372517995443,2.2936933534419315,0.11794969600113787,0.05120817453414019,0.44359240779423054,0.15523395095224124,0.6569485048263524,1.0549640429311937,2.0066268152692763,1.9212674964742273
9,6,3.5333646122726092,1.2492330388712691,2.331651460008366,0.815677691766193,0.2727154556686738,2.036614984838366,2.0202014860927435,0.08965407681458597,0.04402112204909524,0.5381812358549541,0.3952329818259533,0.6797851598668915,0.8936441986738368,1.976877928690508,2.028492248847551
10,8,4.6400683897416615,1.6405119117778366,3.467562640423292,0.6706568402106098,0.6115314331303038,3.067190959250901,3.096950083172498,0.09432497315537164,0.0307528857539436,0.4547439218289967,0.22956187844479262,0.776575427147709,1.0568522610411566,1.9924630302549775,1.92046571669798
11,2,4.8685336372781824,1.7212865746771049,3.717152551722125,0.6953336380740366,0.6667897409837168,2.622238655589413,2.6969753016098736,0.12765721756026613,0.048682532113604286,0.5253887935757665,0.33676945949221954,0.7576926135486723,0.8420866544851549,2.1554342115667957,1.8823479189734176
12,7,3.52000611495909,1.2445100968528433,3.301856574037032,0.7349714591387947,-0.02016826592115412,2.1509687188601565,2.167416447426585,0.14827058312917696,0.06893200344063984,0.6054286637825551,0.4641588964656021,0.8137006920216725,0.8943277900387436,1.940200502023798,2.000633837443602
13,3,6.244527017729209,2.207773699769466,4.866197160975909,0.6302027129056376,0.8590198698591991,5.018765812069501,5.031878299732592,0.13563829814454714,0.027026225813994765,0.5360713206421454,0.24856452476802857,0.9111182564568323,0.9083022012816965,1.8114476660122985,2.0541241375755277
14,1,4.598690298744554,1.625882547409532,4.608434466488805,0.6773841582222393,0.7303825722899397,3.7755237819331384,3.7028899367624333,0.15381285030289052,0.0407394732987579,0.5263000338103961,0.08749311462521876,0.7539839681215011,0.941495888535343,2.150071826315486,1.8986851528777928
15,5,5.762936112515307,2.037505602352207,3.4841564195938153,0.7965456461474266,0.8085880494689296,5.31333153210027,5.344387909195259,0.11241504167110947,0.021157166834397344,0.5167677248235283,0.030733281896258076,0.9242701971512645,0.9643902205452406,2.348308465311642,1.8122636507165786
16,0,5.428646407355516,1.919316343652537,6.123401648632503,0.4025193072437179,0.793868820405776,4.35026542378159,4.298703663732311,0.12533248936076458,0.028810308602231403,0.4848810980784854,0.1952456867699408,0.8954474177637074,1.0697467172832393,1.6348093575815539,2.046237606031956
